LONGITUDE,LATITUDE,ELEVATION
36.3253205728,32.3006322768,656.597
36.3253276763,32.3006383182,656.424
36.325417799,32.300544058,656.688
36.3254014148,32.3005155297,656.79
36.3253946763,32.3005080875,656.699
36.3253122167,32.3005209832,656.593
36.3251903389,32.3003687056,656.603
36.3249230515,32.300427244,656.432
36.3246774038,32.3004677002,656.41
36.3244319602,32.3005152776,656.064
36.3244925226,32.3006636004,656.334
36.3248130595,32.3006317764,656.127
36.3250001251,32.3005910643,656.232
36.325049119,32.3007431774,656.103
36.3250526308,32.3007507205,655.98
36.3250569378,32.3007607541,656.192
36.3250682446,32.30078481,656.228
36.3250691843,32.3007921505,656.062
36.3250696109,32.3007966191,656.071
36.324836201,32.3007987805,655.976
36.3248431145,32.3008126863,656.081
36.3248534375,32.3008396364,656.041
36.3248531172,32.300850712,655.899
36.3245324712,32.300877181,655.748
36.3245332491,32.3008799964,655.71
36.3245333125,32.3008799688,655.705
36.3245362258,32.3008915206,655.812
36.3245512304,32.3009166709,655.771
36.3245509729,32.3009259516,655.691
36.3245512833,32.3009278784,655.679
36.3242185454,32.3009657611,655.619
36.3242181144,32.3009773426,655.548
36.3242198578,32.3009818266,655.586
36.3242307399,32.3010093578,655.547
36.3242345182,32.3010178543,655.424
36.3242363927,32.3010226347,655.451
36.3241113358,32.3007593591,655.745
36.3240538684,32.3007228453,655.856
36.324109643,32.3007037038,655.968
36.3240696573,32.3006157288,655.856
36.3240158109,32.3006319227,655.877
36.32387055,32.3006805944,655.764
36.3239011647,32.3007681025,655.657
36.3237629612,32.3007767576,655.648
36.3229912683,32.3009860974,655.185
36.3229827704,32.3009728457,655.113
36.3229635703,32.3009829975,654.92
36.3229694792,32.300997264,655.025
36.323771566,32.3008851095,655.497
36.3238566516,32.3010556042,655.445
36.3238631817,32.3010651042,655.358
36.323864948,32.3010697323,655.553
36.3238759467,32.3010972445,655.528
36.3238761021,32.3011055748,655.389
36.3235805737,32.3011913753,655.385
36.3235709379,32.3011797207,655.484
36.3235580904,32.3011581399,655.512
36.323556848,32.3011512169,655.349
36.3235547361,32.3011409383,655.433
36.3234965711,32.3009629462,655.498
36.3231578896,32.3010581361,655.498
36.3232284017,32.3012481376,655.425
36.3232426444,32.3012588317,655.333
36.3232547743,32.3012790484,655.541
36.3232564854,32.3012860934,655.522
36.3230125822,32.3013054315,655.273
36.3230159224,32.3013119842,655.417
36.3230262957,32.301337879,655.39
36.3230265672,32.3013435573,655.297
36.3230283771,32.3013517376,655.385
36.3226145705,32.300853549,654.51
36.322588352,32.3007850003,654.517
36.3229474835,32.3008299068,655.136
36.3229171721,32.3007575171,654.93
36.3228905434,32.3006901622,654.978
36.3228977322,32.300685013,654.822
36.3229039157,32.3006991599,654.895
36.3229241288,32.3006936789,654.849
