longitude,latitude,septic_id,septic_id_short,septic_district,septic_block,septic_number,septic_capacity,septic_ventilation_1,septic_ventilation_2,steel_id,steel_id_short,steel_type,steel_district,steel_number,steel_capacity,house_count,house_ids
36.327220,32.300119,D03-B06-T11,D3-B6-T11,3,6,11,2,120,,NST-03-16,NST-3-16,NST,3,16,25,1,D03-B06-H035
36.327415,32.299687,D03-B06-T12,D3-B6-T12,3,6,12,4,120,,OST-03-17,OST-3-17,OST,3,17,,5,"D03-B06-H039,D03-B06-H041,D03-B06-H042,D03-B06-H044,D03-B06-H048"
36.327586,32.299505,D03-B06-T13,D3-B6-T13,3,6,13,4,120,,OST-03-17,OST-3-17,OST,3,17,,2,"D03-B06-H044,D03-B06-H047"
36.327697,32.299712,D03-B06-T14,D3-B6-T14,3,6,14,2,120,,OST-03-17,OST-3-17,OST,3,17,,1,D03-B06-H049
36.322641,32.300770,D03-B07-T01,D3-B7-T1,3,7,1,4,160,,,,,,,,7,"D03-B07-H081,D03-B07-H088,D03-B07-H089,D03-B07-H090,D03-B07-H091,D03-B07-H092,D03-B07-H093"
36.322919,32.300889,D03-B07-T02,D3-B7-T2,3,7,2,8,120,,,,,,,,6,"D03-B07-H086,D03-B07-H087,D03-B07-H094,D03-B07-H095,D03-B07-H096,D03-B07-H097"
36.323013,32.300407,D03-B07-T03,D3-B7-T3,3,7,3,4,120,,,,,,,,3,"D03-B07-H078,D03-B07-H079,D03-B07-H080"
36.323292,32.300752,D03-B07-T04,D3-B7-T4,3,7,4,4,120,,,,,,,,5,"D03-B07-H073,D03-B07-H082,D03-B07-H083,D03-B07-H084,D03-B07-H085"
36.323342,32.300301,D03-B07-T05,D3-B7-T5,3,7,5,4,120,,,,,,,,3,"D03-B07-H057,D03-B07-H076,D03-B07-H077"
36.323365,32.300850,D03-B07-T06,D3-B7-T6,3,7,6,4,120,,,,,,,,2,"D03-B07-H071,D03-B07-H072"
36.323634,32.300467,D03-B07-T07,D3-B7-T7,3,7,7,4,160,,,,,,,,4,"D03-B07-H054,D03-B07-H055,D03-B07-H056,D03-B07-H074"
36.323798,32.300723,D03-B07-T08,D3-B7-T8,3,7,8,4,120,,,,,,,,6,"D03-B07-H048,D03-B07-H049,D03-B07-H050,D03-B07-H058,D03-B07-H059,D03-B07-H070"
36.323829,32.300312,D03-B07-T09,D3-B7-T9,3,7,9,2,120,,,,,,,,1,D03-B07-H052
36.323873,32.300152,D03-B07-T10,D3-B7-T10,3,7,10,4,120,,,,,,,,3,"D03-B07-H041,D03-B07-H051,D03-B07-H053"
36.324183,32.300302,D03-B07-T11,D3-B7-T11,3,7,11,8,160,,,,,,,,5,"D03-B07-H033,D03-B07-H039,D03-B07-H040,D03-B07-H042,D03-B07-H043"
36.324191,32.300549,D03-B07-T12,D3-B7-T12,3,7,12,4,120,,OST-03-10,OST-3-10,OST,3,10,,4,"D03-B07-H044,D03-B07-H045,D03-B07-H046,D03-B07-H047"
36.324306,32.300531,D03-B07-T13,D3-B7-T13,3,7,13,4,120,,OST-03-10,OST-3-10,OST,3,10,,2,"D03-B07-H035,D03-B07-H036"
36.324321,32.300008,D03-B07-T14,D3-B7-T14,3,7,14,4,120,,,,,,,,3,"D03-B07-H031,D03-B07-H032,D03-B07-H038"
36.324461,32.300048,D03-B07-T15,D3-B7-T15,3,7,15,2,120,,,,,,,,2,"D03-B07-H028,D03-B07-H030"
36.324524,32.300477,D03-B07-T16,D3-B7-T16,3,7,16,4,120,,OST-03-10,OST-3-10,OST,3,10,,3,"D03-B07-H023,D03-B07-H024,D03-B07-H034"
36.324683,32.299999,D03-B07-T17,D3-B7-T17,3,7,17,8,120,,,,,,,,6,"D03-B07-H017,D03-B07-H019,D03-B07-H025,D03-B07-H026,D03-B07-H027,D03-B07-H029"
36.324914,32.300431,D03-B07-T18,D3-B7-T18,3,7,18,4,160,,OST-03-10,OST-3-10,OST,3,10,,4,"D03-B07-H014,D03-B07-H020,D03-B07-H021,D03-B07-H022"
36.324955,32.300051,D03-B07-T19,D3-B7-T19,3,7,19,8,160,,,,,,,,5,"D03-B07-H004,D03-B07-H008,D03-B07-H009,D03-B07-H015,D03-B07-H016"
36.325044,32.299841,D03-B07-T20,D3-B7-T20,3,7,20,4,160,,,,,,,,3,"D03-B07-H005,D03-B07-H006,D03-B07-H018"
36.325095,32.300378,D03-B07-T21,D3-B7-T21,3,7,21,2,120,,,,,,,,1,D03-B07-H013
36.325378,32.300267,D03-B07-T22,D3-B7-T22,3,7,22,4,160,,OST-03-10,OST-3-10,OST,3,10,,5,"D03-B07-H001,D03-B07-H002,D03-B07-H003,D03-B07-H010,D03-B07-H011"
36.325397,32.299785,D03-B08-T01,D3-B8-T1,3,8,1,4,120,,,,,,,,5,"D03-B08-H001,D03-B08-H002,D03-B08-H003,D03-B08-H004,D03-B08-H008"
36.325734,32.299462,D03-B08-T02,D3-B8-T2,3,8,2,4,120,,NST-03-13,NST-3-13,NST,3,13,25,3,"D03-B08-H012,D03-B08-H013,D03-B08-H019"
36.325922,32.299642,D03-B08-T03,D3-B8-T3,3,8,3,4,120,,NST-03-13,NST-3-13,NST,3,13,25,5,"D03-B08-H009,D03-B08-H010,D03-B08-H014,D03-B08-H016,D03-B08-H017"
36.326183,32.299619,D03-B08-T04,D3-B8-T4,3,8,4,4,120,,NST-03-13,NST-3-13,NST,3,13,25,3,"D03-B08-H024,D03-B08-H025,D03-B08-H026"
36.326215,32.299368,D03-B08-T05,D3-B8-T5,3,8,5,4,120,,NST-03-13,NST-3-13,NST,3,13,25,6,"D03-B08-H020,D03-B08-H021,D03-B08-H022,D03-B08-H023,D03-B08-H027,D03-B08-H028"
36.326469,32.299267,D03-B08-T06,D3-B8-T6,3,8,6,4,120,,NST-03-13,NST-3-13,NST,3,13,25,3,"D03-B08-H029,D03-B08-H033,D03-B08-H034"
36.326720,32.299407,D03-B08-T07,D3-B8-T7,3,8,7,4,120,,NST-03-13,NST-3-13,NST,3,13,25,4,"D03-B08-H031,D03-B08-H032,D03-B08-H035,D03-B08-H037"
36.326813,32.299266,D03-B08-T08,D3-B8-T8,3,8,8,2,120,,OST-03-18,OST-3-18,OST,3,18,,1,D03-B08-H038
36.326996,32.299108,D03-B08-T09,D3-B8-T9,3,8,9,8,120,,OST-03-18,OST-3-18,OST,3,18,,8,"D03-B08-H039,D03-B08-H040,D03-B08-H042,D03-B08-H043,D03-B08-H044,D03-B08-H046,D03-B08-H047,D03-B08-H048"
36.327383,32.299301,D03-B08-T10,D3-B8-T10,3,8,10,2,120,,OST-03-18,OST-3-18,OST,3,18,,1,D03-B08-H045
36.321228,32.300364,D03-B09-T01,D3-B9-T1,3,9,1,4,120,,,,,,,,3,"D03-B09-H053,D03-B09-H054,D03-B09-H055"
36.321459,32.300316,D03-B09-T02,D3-B9-T2,3,9,2,2,120,,,,,,,,1,D03-B09-H052
36.321608,32.300264,D03-B09-T03,D3-B9-T3,3,9,3,4,120,,,,,,,,2,"D03-B09-H050,D03-B09-H051"
36.321897,32.300176,D03-B09-T04,D3-B9-T4,3,9,4,2,120,,,,,,,,2,"D03-B09-H048,D03-B09-H049"
36.323335,32.300200,D03-B09-T05,D3-B9-T5,3,9,5,8,120,,,,,,,,3,"D03-B09-H043,D03-B09-H046,D03-B09-H047"
36.323355,32.299955,D03-B09-T06,D3-B9-T6,3,9,6,4,120,,,,,,,,2,"D03-B09-H044,D03-B09-H045"
36.323740,32.299624,D03-B09-T07,D3-B9-T7,3,9,7,4,120,,,,,,,,2,"D03-B09-H034,D03-B09-H035"
36.323749,32.300066,D03-B09-T08,D3-B9-T8,3,9,8,4,120,,,,,,,,5,"D03-B09-H038,D03-B09-H039,D03-B09-H040,D03-B09-H041,D03-B09-H042"
36.323988,32.300000,D03-B09-T09,D3-B9-T9,3,9,9,4,120,,,,,,,,4,"D03-B09-H030,D03-B09-H031,D03-B09-H036,D03-B09-H037"
36.324134,32.299501,D03-B09-T10,D3-B9-T10,3,9,10,8,120,,,,,,,,5,"D03-B09-H027,D03-B09-H028,D03-B09-H029,D03-B09-H032,D03-B09-H033"
36.324448,32.299681,D03-B09-T11,D3-B9-T11,3,9,11,4,120,,,,,,,,6,"D03-B09-H022,D03-B09-H023,D03-B09-H024,D03-B09-H025,D03-B09-H026,D03-B09-H027"
36.324498,32.299366,D03-B09-T12,D3-B9-T12,3,9,12,2,120,,,,,,,,2,"D03-B09-H020,D03-B09-H021"
36.324614,32.299830,D03-B09-T13,D3-B9-T13,3,9,13,4,120,,OST-03-09,OST-3-9,OST,3,9,,5,"D03-B09-H015,D03-B09-H016,D03-B09-H017,D03-B09-H018,D03-B09-H024"
36.324821,32.299445,D03-B09-T14,D3-B9-T14,3,9,14,4,120,,,,,,,,5,"D03-B09-H002,D03-B09-H009,D03-B09-H012,D03-B09-H013,D03-B09-H019"
36.324855,32.299305,D03-B09-T15,D3-B9-T15,3,9,15,4,120,,,,,,,,4,"D03-B09-H003,D03-B09-H004,D03-B09-H010,D03-B09-H011"
36.325018,32.299702,D03-B09-T16,D3-B9-T16,3,9,16,8,120,,OST-03-09,OST-3-9,OST,3,9,,5,"D03-B09-H001,D03-B09-H005,D03-B09-H006,D03-B09-H007,D03-B09-H008"
36.325383,32.299255,D03-B10-T01,D3-B10-T1,3,10,1,4,160,,NST-03-13,NST-3-13,NST,3,13,25,5,"D03-B08-H006,D03-B10-H001,D03-B10-H002,D03-B10-H003,D03-B10-H005"
