X,Y,ORIGINAL,NGO,DISTRICT,BLOCK,OLDBIN,NEWBINLTR,NEWBINTTB,IDLTR,IDTTB,GPSLAT,GPSLON,GPSALT,GPSACC,HASID,CONDITION,XCOORD,YCOORD
36.3320846499896,32.2861399899863,505,ACTED,9,10,0,1,1,D9-B10-B1,D9-B10-B1,32.28613999000,36.33208465000,689,4,no,,249056,3575112
36.3321678599896,32.2871090199863,506,ACTED,9,8,0,1,4,D9-B8-B1,D9-B8-B4,32.28710902000,36.33216786000,702,4,no,,249025,3575215
36.3328087699896,32.2867197699863,507,ACTED,9,8,0,3,6,D9-B8-B3,D9-B8-B6,32.28671977000,36.33280877000,690,4,no,,249097,3575196
36.3329492199896,32.2869246299863,508,ACTED,9,8,0,4,3,D9-B8-B4,D9-B8-B3,32.28692463000,36.33294922000,678,4,no,,249101,3575222
36.3334925599896,32.2866507799864,509,ACTED,9,8,0,6,5,D9-B8-B6,D9-B8-B5,32.28665078000,36.33349256000,680,4,no,,249160,3575212
36.3339872999896,32.2863368199864,510,ACTED,9,12,0,3,1,D9-B12-B3,D9-B12-B1,32.28633682000,36.33398730000,678,4,no,,249216,3575195
36.3337048899896,32.2874909499863,511,ACTED,9,8,0,5,1,D9-B8-B5,D9-B8-B1,32.28749095000,36.33370489000,686,4,no,,249146,3575306
36.3329125899896,32.2877252599863,512,ACTED,9,8,0,2,2,D9-B8-B2,D9-B8-B2,32.28772526000,36.33291259000,694,4,no,,249067,3575304
36.3327374799896,32.2880881499863,513,ACTED,9,6,0,1,2,D9-B6-B1,D9-B6-B2,32.28808815000,36.33273748000,670,4,no,,249037,3575336
36.3333825899896,32.2879259499863,514,ACTED,9,6,0,2,1,D9-B6-B2,D9-B6-B1,32.28792595000,36.33338259000,709,4,no,,249100,3575340
36.3340377799896,32.2876510399864,515,ACTED,9,6,0,3,3,D9-B6-B3,D9-B6-B3,32.28765104000,36.33403778000,702,4,no,,249169,3575334
36.3350490299897,32.2880768299864,516,ACTED,9,4,0,7,6,D9-B4-B7,D9-B4-B6,32.28807683000,36.33504903000,687,4,no,,249242,3575411
36.3345688499896,32.2884777199864,517,ACTED,9,4,0,6,2,D9-B4-B6,D9-B4-B2,32.28847772000,36.33456885000,691,4,no,,249184,3575437
36.3342854699896,32.2884459399864,518,ACTED,9,4,0,5,5,D9-B4-B5,D9-B4-B5,32.28844594000,36.33428547000,697,4,no,,249160,3575424
36.3336846599896,32.2888386599864,519,ACTED,9,4,0,4,1,D9-B4-B4,D9-B4-B1,32.28883866000,36.33368466000,700,4,no,,249091,3575445
36.3331299599896,32.2888818099863,520,ACTED,9,4,0,3,4,D9-B4-B3,D9-B4-B4,32.28888181000,36.33312996000,696,4,no,,249041,3575431
36.3328779899896,32.2889696699863,521,ACTED,9,4,0,2,3,D9-B4-B2,D9-B4-B3,32.28896967000,36.33287799000,689,4,no,,249015,3575432
36.3322833499896,32.2889196099863,522,ACTED,9,4,0,1,7,D9-B4-B1,D9-B4-B7,32.28891961000,36.33228335000,698,4,no,,248965,3575407
36.3331538499896,32.2897744099863,523,ACTED,9,2,0,1,2,D9-B2-B1,D9-B2-B2,32.28977441000,36.33315385000,703,4,no,,249008,3575525
36.3332467899896,32.2898097599863,524,ACTED,9,2,0,2,1,D9-B2-B2,D9-B2-B1,32.28980976000,36.33324679000,701,4,no,,249015,3575532
36.3340912899896,32.2894516799864,525,ACTED,9,2,0,3,4,D9-B2-B3,D9-B2-B4,32.28945168000,36.33409129000,690,4,no,,249103,3575522
36.3346923499897,32.2892882499864,526,ACTED,9,2,0,4,3,D9-B2-B4,D9-B2-B3,32.28928825000,36.33469235000,698,4,no,,249163,3575525
36.3323493499896,32.2901287699863,527,ACTED,9,1,0,3,2,D9-B1-B3,D9-B1-B2,32.29012877000,36.33234935000,701,4,no,,248923,3575535
36.3316323199896,32.2903578099863,528,ACTED,9,1,0,2,1,D9-B1-B2,D9-B1-B1,32.29035781000,36.33163232000,713,4,no,,248851,3575535
36.3308628199896,32.2904520599863,529,ACTED,9,1,0,1,3,D9-B1-B1,D9-B1-B3,32.29045206000,36.33086282000,738,4,no,,248780,3575519
36.3297376699895,32.2898602999862,530,ACTED,9,3,0,1,3,D9-B3-B1,D9-B3-B3,32.28986030000,36.32973767000,691,4,no,,248703,3575421
36.3306180699896,32.2896032199863,531,ACTED,9,3,0,2,2,D9-B3-B2,D9-B3-B2,32.28960322000,36.33061807000,682,4,no,,248791,3575423
36.3313886199896,32.2894573799863,532,ACTED,9,3,0,3,1,D9-B3-B3,D9-B3-B1,32.28945738000,36.33138862000,681,4,no,,248865,3575434
36.3318623699896,32.2882708899863,533,ACTED,9,5,0,5,4,D9-B5-B5,D9-B5-B4,32.28827089000,36.33186237000,692,4,no,,248953,3575326
36.3311050199896,32.2884765399863,534,ACTED,9,5,0,4,5,D9-B5-B4,D9-B5-B5,32.28847654000,36.33110502000,700,4,no,,248878,3575322
36.3307083499896,32.2886911099863,535,ACTED,9,5,0,3,3,D9-B5-B3,D9-B5-B3,32.28869111000,36.33070835000,691,4,no,,248835,3575331
36.3300856799895,32.2888908999862,536,ACTED,9,5,0,2,2,D9-B5-B2,D9-B5-B2,32.28889090000,36.33008568000,694,4,no,,248772,3575332
36.3295688099895,32.2890777599862,537,ACTED,9,5,0,1,1,D9-B5-B1,D9-B5-B1,32.28907776000,36.32956881000,693,4,no,,248719,3575334
36.3302086699895,32.2887372599862,538,ACTED,9,7,0,1,1,D9-B7-B1,D9-B7-B1,32.28873726000,36.33020867000,687,4,no,,248789,3575320
36.3309616299896,32.2884019299863,539,ACTED,9,7,0,2,2,D9-B7-B2,D9-B7-B2,32.28840193000,36.33096163000,691,4,no,,248868,3575310
36.3313098799896,32.2882827599863,540,ACTED,9,7,0,3,3,D9-B7-B3,D9-B7-B3,32.28828276000,36.33130988000,702,4,no,,248904,3575309
36.3306229299895,32.2875172999863,541,ACTED,9,9,0,6,4,D9-B9-B6,D9-B9-B4,32.28751730000,36.33062293000,675,4,no,,248873,3575207
36.3303969199895,32.2878621399863,542,ACTED,9,9,0,5,2,D9-B9-B5,D9-B9-B2,32.28786214000,36.33039692000,731,4,no,,248840,3575235
36.3300677399895,32.2876341699862,543,ACTED,9,9,0,4,5,D9-B9-B4,D9-B9-B5,32.28763417000,36.33006774000,696,4,no,,248819,3575200
36.3291428299895,32.2882601199862,544,ACTED,9,9,0,1,1,D9-B9-B1,D9-B9-B1,32.28826012000,36.32914283000,690,4,no,,248713,3575235
36.3291385799895,32.2882564199862,545,ACTED,9,9,0,2,3,D9-B9-B2,D9-B9-B3,32.28825642000,36.32913858000,681,4,no,,248713,3575234
36.3296262699895,32.2870552399862,546,ACTED,9,9,0,3,7,D9-B9-B3,D9-B9-B7,32.28705524000,36.32962627000,670,4,no,,248803,3575126
36.3303209799896,32.2867428799862,547,ACTED,9,9,0,7,8,D9-B9-B7,D9-B9-B8,32.28674288000,36.33032098000,682,4,no,,248876,3575116
36.3311291999896,32.2866967699863,548,ACTED,9,9,0,8,6,D9-B9-B8,D9-B9-B6,32.28669677000,36.33112920000,679,4,no,,248950,3575138
36.3302819099895,32.2865007299862,549,ACTED,9,11,0,5,1,D9-B11-B5,D9-B11-B1,32.28650073000,36.33028191000,692,4,no,,248882,3575090
36.3299061899895,32.2865745399862,550,ACTED,9,11,0,3,3,D9-B11-B3,D9-B11-B3,32.28657454000,36.32990619000,703,4,no,,248846,3575085
